"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Bosnia and Herzegovina","Female","27.3 [14.1-43.2]","27.30000","14.10000","43.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Belarus","Female","13.4 [10.5-16.6]","13.40000","10.50000","16.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Czech Republic","Female","29.7 [23.9-36.1]","29.70000","23.90000","36.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","Germany","Female","29.0 [24.0-34.4]","29.00000","24.00000","34.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Denmark","Female","19.0 [15.1-23.4]","19.00000","15.10000","23.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","Denmark","Female","16.4 [12.5-20.1]","16.40000","12.50000","20.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Spain","Female","28.0 [22.4-33.7]","28.00000","22.40000","33.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Spain","Female","25.7 [18.9-33.2]","25.70000","18.90000","33.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Spain","Female","24.4 [16.4-33.3]","24.40000","16.40000","33.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Estonia","Female","24.3 [17.9-32.0]","24.30000","17.90000","32.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Finland","Female","25.7 [20.5-30.8]","25.70000","20.50000","30.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","France","Female","26.8 [20.8-33.5]","26.80000","20.80000","33.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","Georgia","Female","6.0 [4.5-7.4]","6.00000","4.50000","7.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","Greece","Female","32.7 [19.6-48.4]","32.70000","19.60000","48.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Hungary","Female","34.4 [26.9-43.3]","34.40000","26.90000","43.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Hungary","Female","20.2 [11.8-28.8]","20.20000","11.80000","28.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Ireland","Female","27.3 [21.4-32.5]","27.30000","21.40000","32.50000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","Ireland","Female","24.4 [18.8-30.9]","24.40000","18.80000","30.90000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Iceland","Female","22.1 [16.2-28.1]","22.10000","16.20000","28.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Iceland","Female","16.9 [11.9-21.7]","16.90000","11.90000","21.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Israel","Female","21.6 [16.3-28.0]","21.60000","16.30000","28.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","Israel","Female","20.4 [14.5-26.7]","20.40000","14.50000","26.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Israel","Female","18.7 [9.7-28.0]","18.70000","9.70000","28.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Italy","Female","19.8 [16.7-23.4]","19.80000","16.70000","23.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Italy","Female","19.6 [14.9-25.2]","19.60000","14.90000","25.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Kazakhstan","Female","8.7 [4.7-12.6]","8.70000","4.70000","12.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Kyrgyzstan","Female","3.0 [1.5-4.8]","3.00000","1.50000","4.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Lithuania","Female","20.9 [16.1-25.2]","20.90000","16.10000","25.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Lithuania","Female","21.3 [17.0-25.5]","21.30000","17.00000","25.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Luxembourg","Female","25.8 [19.8-32.6]","25.80000","19.80000","32.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Luxembourg","Female","24.1 [19.3-29.8]","24.10000","19.30000","29.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","Luxembourg","Female","22.7 [17.6-28.5]","22.70000","17.60000","28.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","Latvia","Female","24.4 [19.6-29.3]","24.40000","19.60000","29.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Republic of Moldova","Female","5.4 [3.8-7.2]","5.40000","3.80000","7.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Republic of Moldova","Female","5.4 [3.6-7.8]","5.40000","3.60000","7.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Malta","Female","18.6 [11.5-27.1]","18.60000","11.50000","27.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Malta","Female","17.0 [8.8-26.6]","17.00000","8.80000","26.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Norway","Female","33.4 [27.9-38.5]","33.40000","27.90000","38.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Norway","Female","24.9 [20.7-29.7]","24.90000","20.70000","29.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Poland","Female","26.1 [20.8-31.7]","26.10000","20.80000","31.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Portugal","Female","13.2 [7.1-20.2]","13.20000","7.10000","20.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Serbia","Female","38.9 [23.3-56.3]","38.90000","23.30000","56.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Sweden","Female","23.0 [19.4-27.4]","23.00000","19.40000","27.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Turkey","Female","13.5 [11.0-16.5]","13.50000","11.00000","16.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Turkey","Female","10.6 [7.9-13.9]","10.60000","7.90000","13.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Uzbekistan","Female","1.5 [0.9-2.4]","1.50000","0.90000","2.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Uzbekistan","Female","1.5 [0.9-2.2]","1.50000","0.90000","2.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","South-East Asia","India","Male","22.8 [17.8-28.0]","22.80000","17.80000","28.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","South-East Asia","Sri Lanka","Male","28.1 [12.6-47.1]","28.10000","12.60000","47.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","South-East Asia","Nepal","Male","32.9 [20.6-45.2]","32.90000","20.60000","45.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","South-East Asia","Bangladesh","Female","3.0 [2.2-3.8]","3.00000","2.20000","3.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","South-East Asia","Bangladesh","Female","1.4 [1.0-1.9]","1.40000","1.00000","1.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","South-East Asia","Indonesia","Female","4.2 [3.5-5.3]","4.20000","3.50000","5.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","South-East Asia","Indonesia","Female","4.0 [3.2-4.9]","4.00000","3.20000","4.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","South-East Asia","Indonesia","Female","3.6 [2.6-4.5]","3.60000","2.60000","4.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","South-East Asia","India","Female","0.8 [0.4-1.3]","0.80000","0.40000","1.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","South-East Asia","Sri Lanka","Female","0.2 [0.1-0.4]","0.20000","0.10000","0.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","South-East Asia","Myanmar","Female","3.8 [0.7-7.2]","3.80000","0.70000","7.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","South-East Asia","Thailand","Female","2.4 [2.0-2.9]","2.40000","2.00000","2.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Western Pacific","Australia","Male","23.0 [18.8-26.7]","23.00000","18.80000","26.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Western Pacific","Australia","Male","16.7 [13.4-20.5]","16.70000","13.40000","20.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Western Pacific","Australia","Male","14.3 [10.7-17.9]","14.30000","10.70000","17.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Western Pacific","Brunei Darussalam","Male","29.3 [11.1-51.1]","29.30000","11.10000","51.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Western Pacific","Fiji","Male","52.0 [31.5-79.5]","52.00000","31.50000","79.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Western Pacific","Japan","Male","51.3 [41.8-61.7]","51.30000","41.80000","61.70000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Western Pacific","Cambodia","Male","51.2 [34.4-68.0]","51.20000","34.40000","68.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Western Pacific","Cambodia","Male","46.0 [34.2-57.9]","46.00000","34.20000","57.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Western Pacific","Cambodia","Male","45.2 [33.4-58.2]","45.20000","33.40000","58.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Western Pacific","Republic of Korea","Male","44.0 [21.8-68.9]","44.00000","21.80000","68.90000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Western Pacific","Mongolia","Male","56.9 [39.9-73.5]","56.90000","39.90000","73.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Western Pacific","Niue","Male","23.2 [14.9-31.2]","23.20000","14.90000","31.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Western Pacific","Nauru","Male","51.6 [35.2-67.5]","51.60000","35.20000","67.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Western Pacific","Tonga","Male","54.4 [40.7-70.2]","54.40000","40.70000","70.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Western Pacific","Tonga","Male","45.6 [26.8-63.4]","45.60000","26.80000","63.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Western Pacific","Tonga","Male","44.0 [23.8-67.9]","44.00000","23.80000","67.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Western Pacific","Viet Nam","Male","45.6 [28.9-67.7]","45.60000","28.90000","67.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Western Pacific","Australia","Female","13.1 [10.3-15.7]","13.10000","10.30000","15.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Western Pacific","China","Female","1.4 [0.9-1.9]","1.40000","0.90000","1.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Western Pacific","Fiji","Female","11.9 [4.2-22.4]","11.90000","4.20000","22.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Western Pacific","Japan","Female","13.0 [10.4-15.5]","13.00000","10.40000","15.50000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Western Pacific","Japan","Female","8.7 [5.3-12.4]","8.70000","5.30000","12.40000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Western Pacific","Republic of Korea","Female","3.8 [1.8-6.4]","3.80000","1.80000","6.40000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Western Pacific","Lao People's Democratic Republic","Female","10.7 [7.9-13.6]","10.70000","7.90000","13.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Western Pacific","Lao People's Democratic Republic","Female","7.0 [4.2-10.1]","7.00000","4.20000","10.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Western Pacific","Mongolia","Female","4.5 [2.9-6.3]","4.50000","2.90000","6.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Western Pacific","Mongolia","Female","3.8 [2.2-5.9]","3.80000","2.20000","5.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Western Pacific","Malaysia","Female","3.2 [2.3-4.3]","3.20000","2.30000","4.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Western Pacific","Malaysia","Female","2.4 [1.9-3.1]","2.40000","1.90000","3.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Western Pacific","Niue","Female","14.0 [8.4-20.1]","14.00000","8.40000","20.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Western Pacific","Nauru","Female","55.5 [36.1-76.3]","55.50000","36.10000","76.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Western Pacific","Philippines","Female","9.7 [8.1-11.5]","9.70000","8.10000","11.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Western Pacific","Singapore","Female","5.2 [3.9-6.6]","5.20000","3.90000","6.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Western Pacific","Singapore","Female","4.9 [3.0-7.1]","4.90000","3.00000","7.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Western Pacific","Viet Nam","Female","1.9 [1.4-2.4]","1.90000","1.40000","2.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Western Pacific","Samoa","Female","26.0 [16.1-37.0]","26.00000","16.10000","37.00000",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2000","Americas","Bahamas","Female","12.6","12.60000","","",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","Netherlands","Male","29.4 [23.7-35.1]","29.40000","23.70000","35.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Americas","Canada","Male","17.7 [14.5-21.1]","17.70000","14.50000","21.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Americas","Canada","Male","14.8 [11.7-18.1]","14.80000","11.70000","18.10000",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2014","Western Pacific","China","Male","11.2","11.20000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2013","Europe","Hungary","Female","28","28.00000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2014","Western Pacific","Mongolia","Female","8.3","8.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","Eastern Mediterranean","Lebanon","Female","31.4","31.40000","","","Cigarette smoking only"
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2013","Europe","Greece","Male","19.3","19.30000","","","Cigarette smoking only"
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2013","Europe","Serbia","Male","18.2","18.20000","","","Cigarette smoking only"
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","Africa","Congo","Male","27.6","27.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Africa","Cabo Verde","Female","11.7","11.70000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2000","Africa","Ghana","Female","17.4","17.40000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Africa","Guinea","Male","30.8","30.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Africa","Kenya","Male","14.9","14.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Africa","Kenya","Female","14.5","14.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2001","Africa","Kenya","Male","14.2","14.20000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Africa","Madagascar","Female","14.3","14.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Africa","Mali","Female","8.8","8.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2001","Africa","Mauritania","Female","19.5","19.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2005","Africa","Malawi","Female","17.9","17.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2001","Africa","Niger","Female","12.0","12.00000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2002","Africa","Senegal","Male","24.3","24.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2002","Africa","Senegal","Female","6.9","6.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2005","Africa","Swaziland","Female","9.0","9.00000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Africa","Chad","Male","20.9","20.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2002","Africa","South Africa","Male","29.0","29.00000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2002","Africa","South Africa","Female","20.0","20.00000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","Americas","Antigua and Barbuda","Male","15.1","15.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2012","Americas","Bolivia (Plurinational State of)","Male","20.9","20.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2012","Americas","Bolivia (Plurinational State of)","Female","16.4","16.40000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","1999","Americas","Barbados","Male","15.9","15.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","Americas","Dominican Republic","Male","24.3","24.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2010","Americas","Jamaica","Female","24.6","24.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2010","Americas","Saint Kitts and Nevis","Male","10.4","10.40000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2010","Americas","Saint Kitts and Nevis","Female","7.8","7.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2002","Americas","Saint Kitts and Nevis","Male","18.2","18.20000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","Americas","Mexico","Male","21.6","21.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Americas","Paraguay","Male","20.8","20.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","Americas","El Salvador","Male","18.2","18.20000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","Americas","Suriname","Male","12.6","12.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2000","Americas","Trinidad and Tobago","Female","10.3","10.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","Americas","Saint Vincent and the Grenadines","Male","23.6","23.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2010","Americas","Venezuela (Bolivarian Republic of)","Male","11.0","11.00000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2010","Americas","Venezuela (Bolivarian Republic of)","Female","7.2","7.20000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2005","Eastern Mediterranean","United Arab Emirates","Male","25.2","25.20000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Eastern Mediterranean","Djibouti","Female","10.7","10.70000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Eastern Mediterranean","Iran (Islamic Republic of)","Female","8.9","8.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Eastern Mediterranean","Jordan","Male","33.7","33.70000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Eastern Mediterranean","Jordan","Female","26.1","26.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Eastern Mediterranean","Oman","Male","17.8","17.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Eastern Mediterranean","Qatar","Female","13.1","13.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2002","Eastern Mediterranean","Syrian Arab Republic","Male","22.9","22.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2010","Eastern Mediterranean","Tunisia","Male","20.1","20.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2010","Eastern Mediterranean","Tunisia","Female","3.8","3.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","Europe","Albania","Male","17.3","17.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Europe","Albania","Male","21.9","21.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Europe","Albania","Female","12.5","12.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","Europe","Belarus","Male","31.6","31.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","Europe","Belarus","Female","22.2","22.20000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Europe","Czech Republic","Female","34.1","34.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Europe","Georgia","Female","2.8","2.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","Europe","Croatia","Male","28.6","28.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Europe","Hungary","Female","26.9","26.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","Europe","Kazakhstan","Female","8.1","8.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","Europe","Latvia","Male","39.4","39.40000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2002","Europe","Latvia","Female","30.9","30.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","Europe","Republic of Moldova","Male","25.3","25.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2008","Europe","Montenegro","Female","5.9","5.90000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2013","Europe","Romania","Male","12.2","12.20000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","Europe","Romania","Female","10.4","10.40000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2010","Europe","San Marino","Male","10.9","10.90000","","","Cigarette smoking only"
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","Europe","Slovakia","Female","27.6","27.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2012","Europe","Turkey","Female","12.8","12.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","Europe","Turkey","Female","7.4","7.40000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2013","South-East Asia","Bangladesh","Male","9.2","9.20000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","South-East Asia","Bhutan","Male","21.7","21.70000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","South-East Asia","Bhutan","Female","13.7","13.70000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2006","South-East Asia","India","Female","9.4","9.40000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","South-East Asia","India","Female","9.7","9.70000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","South-East Asia","Sri Lanka","Female","6.1","6.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","South-East Asia","Maldives","Male","8.5","8.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","South-East Asia","Myanmar","Male","22.5","22.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2004","South-East Asia","Myanmar","Male","21.8","21.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2005","Western Pacific","Fiji","Male","11.6","11.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","Western Pacific","Lao People's Democratic Republic","Female","6.0","6.00000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Western Pacific","Malaysia","Male","40.0","40.00000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2011","Western Pacific","Philippines","Male","18.8","18.80000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2003","Western Pacific","Philippines","Female","13.0","13.00000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2000","Western Pacific","Philippines","Female","18.1","18.10000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","Western Pacific","Palau","Male","58.3","58.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2009","Western Pacific","Palau","Female","42.4","42.40000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2007","Western Pacific","Papua New Guinea","Female","40.3","40.30000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2000","Western Pacific","Singapore","Male","10.5","10.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2000","Western Pacific","Singapore","Female","7.5","7.50000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2006","Western Pacific","Tuvalu","Male","41.6","41.60000","","",""
"Prevalence of current tobacco use among adolescents aged 13-15 years","Published","2001","Eastern Mediterranean","Morocco","Male","3.9","3.90000","","","Cigarette smoking only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Africa","Burkina Faso","Male","27.0 [20.2-34.6]","27.00000","20.20000","34.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Africa","Burkina Faso","Male","33.1 [23.1-45.8]","33.10000","23.10000","45.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Africa","Cameroon","Male","43.8 [27.0-64.7]","43.80000","27.00000","64.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Africa","Cameroon","Male","87.2 [60.5-100.0]","87.20000","60.50000","100.00000",""
